Date,Open,High,Low,Close,Adj Close,Volume
2023-09-08,53.380001,53.480000,53.049999,53.189999,52.329704,2437500
2023-09-11,53.400002,53.910000,53.090000,53.860001,52.988869,1724700
2023-09-12,54.000000,54.320000,53.770000,54.099998,53.224983,2718600
2023-09-13,54.320000,54.820000,54.259998,54.560001,53.677547,2487500
2023-09-14,55.000000,55.139999,54.709999,55.020000,54.130104,2735700
2023-09-15,54.919998,55.560001,54.880001,55.560001,54.661373,8436900
2023-09-18,55.389999,55.520000,54.810001,55.220001,54.326874,6480200
2023-09-19,55.029999,55.119999,54.750000,54.990002,54.100594,1800700
2023-09-20,55.119999,55.470001,55.099998,55.150002,54.258003,3848300
2023-09-21,54.900002,55.080002,54.430000,54.450001,53.569324,3091900
2023-09-22,54.419998,54.650002,54.029999,54.040001,53.165958,5185600
2023-09-25,53.930000,54.320000,53.770000,54.040001,53.165958,2239900
2023-09-26,54.000000,54.230000,53.759998,53.790001,52.920002,3934100
2023-09-27,53.119999,53.130001,51.770000,52.009998,52.009998,5563400
2023-09-28,51.990002,52.919998,51.990002,52.740002,52.740002,2261600
2023-09-29,52.919998,53.029999,52.380001,52.430000,52.430000,3468900
2023-10-02,52.520000,52.630001,51.360001,51.459999,51.459999,2335000
2023-10-03,51.130001,51.330002,50.250000,50.360001,50.360001,2738900
2023-10-04,50.560001,50.950001,50.029999,50.939999,50.939999,2325900
2023-10-05,51.000000,51.270000,50.580002,51.160000,51.160000,1556200
2023-10-06,50.919998,51.189999,50.119999,51.090000,51.090000,1977000
2023-10-10,51.049999,51.799999,51.049999,51.669998,51.669998,3526000
2023-10-11,51.740002,52.080002,51.389999,51.889999,51.889999,1818900
2023-10-12,51.810001,51.950001,51.169998,51.520000,51.520000,1719100
2023-10-13,51.700001,52.000000,50.930000,51.020000,51.020000,1719200
2023-10-16,51.320000,51.880001,51.110001,51.840000,51.840000,2886800
2023-10-17,51.630001,52.349998,51.630001,52.130001,52.130001,2722500
2023-10-18,51.790001,51.869999,50.849998,50.930000,50.930000,2034500
2023-10-19,50.910000,51.080002,50.299999,50.320000,50.320000,2581400
2023-10-20,50.139999,50.209999,48.590000,48.639999,48.639999,4009100
2023-10-23,48.490002,49.049999,48.290001,48.759998,48.759998,2721200
2023-10-24,48.709999,48.779999,47.880001,48.220001,48.220001,3498900
2023-10-25,47.990002,48.220001,47.439999,48.189999,48.189999,2690600
2023-10-26,48.150002,48.740002,48.070000,48.439999,48.439999,3127600
2023-10-27,48.430000,48.650002,47.810001,48.150002,48.150002,2014600
2023-10-30,48.650002,49.000000,48.400002,48.779999,48.779999,1902500
2023-10-31,48.900002,49.020000,48.400002,48.910000,48.910000,2341800
2023-11-01,49.029999,49.270000,48.750000,49.220001,49.220001,3236800
2023-11-02,49.599998,51.430000,49.599998,51.330002,51.330002,3433000
2023-11-03,52.000000,52.250000,51.730000,51.820000,51.820000,2409400
2023-11-06,52.049999,52.259998,51.590000,51.919998,51.919998,1279200
2023-11-07,51.779999,51.980000,51.450001,51.700001,51.700001,1742400
2023-11-08,51.669998,51.919998,51.430000,51.669998,51.669998,1161600
2023-11-09,51.889999,52.310001,51.730000,51.820000,51.820000,1477500
2023-11-10,52.000000,52.230000,51.599998,51.980000,51.980000,1407900
2023-11-13,51.959999,52.360001,51.779999,52.150002,52.150002,1009000
2023-11-14,53.020000,53.599998,52.930000,53.279999,53.279999,2803000
2023-11-15,53.500000,53.779999,53.070000,53.520000,53.520000,3288400
2023-11-16,53.439999,53.730000,53.389999,53.590000,53.590000,1410500
2023-11-17,53.860001,54.240002,53.820000,54.220001,54.220001,2092100
2023-11-20,54.279999,54.369999,53.910000,54.299999,54.299999,1514100
2023-11-21,54.000000,54.439999,53.349998,53.389999,53.389999,3684000
2023-11-22,53.480000,53.970001,53.200001,53.669998,53.669998,2950100
2023-11-23,53.709999,53.980000,53.570000,53.650002,53.650002,846300
2023-11-24,53.560001,53.830002,53.430000,53.689999,53.689999,2036500
2023-11-27,53.509998,53.549999,52.799999,52.880001,52.880001,4171000
2023-11-28,51.990002,52.660000,51.599998,52.389999,52.389999,3449000
2023-11-29,52.610001,53.509998,52.480000,53.360001,53.360001,3441900
2023-11-30,54.459999,56.139999,54.459999,56.099998,56.099998,8621500
2023-12-01,55.799999,56.759998,55.549999,56.549999,56.549999,4274000
